HW,CIN,COUT,KERNEL_SIZE,STRIDES,FLOPS,PARAMS,LATENCY,model_path
8,108,6,3,1,0.373632,0.005838,0.0251374,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_3D843Q.tflite
56,4,27,1,1,0.42336,0.000135,0.0379925,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_G7SY14.tflite
8,140,47,1,1,0.424128,0.006627,0.0222224,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_21BPRL.tflite
8,519,54,1,2,0.44928,0.02808,0.025941199999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_P1H072.tflite
1,42,239,7,1,0.492101,0.492101,0.049359900000000005,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_W2DTHZ.tflite
8,214,36,1,1,0.49536,0.00774,0.0283203,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_FSO4MW.tflite
13,130,24,1,1,0.531336,0.003144,0.027244800000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_KARAM3.tflite
8,252,34,1,1,0.550528,0.008602,0.0329544,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_VRYGAU.tflite
14,14,191,1,1,0.56154,0.002865,0.0332558,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_3SUR0C.tflite
14,79,36,1,1,0.56448,0.00288,0.031973299999999996,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_W3DKTQ.tflite
1,233,98,5,1,0.570948,0.570948,0.0610468,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_ASTB92.tflite
13,4,692,1,1,0.58474,0.00346,0.043821599999999995,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_FYVYRX.tflite
8,161,57,1,1,0.590976,0.009234,0.0338855,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_HCY285.tflite
14,40,79,1,1,0.634844,0.003239,0.0336258,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_KKJ4JU.tflite
28,23,135,1,2,0.63504,0.00324,0.0351546,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_OWHF9C.tflite
13,120,32,1,1,0.654368,0.003872,0.0335651,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_2MRZ4F.tflite
27,4,183,1,1,0.667035,0.000915,0.054256,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_K02QVL.tflite
14,80,45,1,1,0.71442,0.003645,0.0386741,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_XTGJ91.tflite
3,930,86,1,1,0.720594,0.080066,0.0484882,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_STFWML.tflite
14,250,15,1,1,0.73794,0.003765,0.0400855,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_D26C67.tflite
7,12,1169,1,1,0.744653,0.015197,0.048596200000000006,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_JWSBZ4.tflite
7,72,24,3,1,0.763224,0.015576,0.041093000000000005,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_ZRXISD.tflite
14,35,109,1,1,0.769104,0.003924,0.0416616,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_CVKRVC.tflite
13,21,207,1,1,0.769626,0.004554,0.043092399999999996,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_0X097Q.tflite
8,138,89,1,1,0.791744,0.012371,0.043563000000000004,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_8IXUO9.tflite
14,43,98,1,1,0.845152,0.004312,0.0466419,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_R4GLWS.tflite
28,22,52,1,1,0.937664,0.001196,0.0546611,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_1RBYSZ.tflite
14,227,21,1,1,0.938448,0.004788,0.0538447,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_VEYVKD.tflite
1,265,142,5,1,0.940892,0.940892,0.107334,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_NUUZX2.tflite
28,209,6,1,1,0.98784,0.00126,0.0676524,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_HEHXM9.tflite
8,82,188,1,1,0.998656,0.015604,0.052600499999999994,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_668BLL.tflite
13,179,33,1,1,1.00386,0.00594,0.0620169,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_V1S0QG.tflite
8,262,27,3,2,1.019088,0.063693,0.0670085,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_KXGWXZ.tflite
28,111,12,1,1,1.053696,0.001344,0.0722883,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_QU8NA1.tflite
8,266,64,1,1,1.093632,0.017088,0.0552972,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_LPGU21.tflite
1,269,168,5,1,1.129968,1.129968,0.12433799999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_5R18W7.tflite
112,45,8,1,2,1.154048,0.000368,0.0672673,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_97V9QN.tflite
14,423,56,1,2,1.163456,0.023744,0.063659,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_9DENCI.tflite
27,167,38,1,2,1.163484,0.006384,0.0683866,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_39HFS3.tflite
8,1020,72,1,2,1.176192,0.073512,0.0661263,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_3L9CIA.tflite
27,26,60,1,1,1.18098,0.00162,0.06724079999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_PBZ7X6.tflite
27,123,6,3,2,1.211598,0.006648,0.08988259999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_EQPHXK.tflite
13,56,126,1,1,1.213758,0.007182,0.0644288,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_P30BGD.tflite
27,6,971,1,2,1.23875325,0.006797,0.092154,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_TU78DE.tflite
14,171,37,1,1,1.247344,0.006364,0.0678279,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_VZ3OS3.tflite
14,58,117,1,1,1.352988,0.006903,0.07104200000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_3FIQCC.tflite
56,15,110,1,2,1.37984,0.00176,0.08126009999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_DX295M.tflite
27,764,10,1,2,1.3942125,0.00765,0.122299,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_EZJJT0.tflite
8,374,10,5,2,1.49616,0.09351,0.133442,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_E5G3ZB.tflite
8,176,137,1,1,1.551936,0.024249,0.0826727,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_681L5O.tflite
13,99,92,1,1,1.5548,0.0092,0.0831523,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_Q3RMQX.tflite
28,39,201,1,2,1.57584,0.00804,0.0856159,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_OX8FIO.tflite
13,506,19,1,1,1.627977,0.009633,0.106015,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_B0N0KF.tflite
13,175,55,1,1,1.63592,0.00968,0.0848206,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_OZFPMY.tflite
13,70,152,1,1,1.823848,0.010792,0.0942378,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_OD663L.tflite
14,51,187,1,1,1.905904,0.009724,0.100755,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_G5ML8R.tflite
27,27,95,1,1,1.93914,0.00266,0.105622,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_HL7TW6.tflite
8,428,74,1,1,2.031744,0.031746,0.111306,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_KDNII6.tflite
8,155,206,1,1,2.056704,0.032136,0.10563800000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_OZ04UI.tflite
14,111,95,1,1,2.08544,0.01064,0.105967,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_5XXDAO.tflite
14,492,22,1,1,2.125816,0.010846,0.11708299999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_C9OY5S.tflite
28,59,49,1,1,2.30496,0.00294,0.13566499999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_1BHUO2.tflite
27,210,15,1,1,2.307285,0.003165,0.127598,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_NDRAD2.tflite
28,35,82,1,1,2.314368,0.002952,0.130885,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_MMMAEL.tflite
14,1706,7,1,1,2.342004,0.011949,0.133765,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_68TREP.tflite
14,241,212,1,2,2.513896,0.051304,0.139891,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_IAGY5Y.tflite
7,520,105,1,1,2.680545,0.054705,0.154988,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_R9EFNH.tflite
8,343,497,1,2,2.735488,0.170968,0.15351900000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_7WDW7Y.tflite
14,531,107,1,2,2.789276,0.056924,0.158258,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_2MINIG.tflite
14,43,54,5,2,2.847096,0.058104,0.158861,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/conv-bn-relu/conv-bn-relu_prior_2V7XEA.tflite
