CIN,COUT,FLOPS,PARAMS,LATENCY,model_path
24996,1000,24.9965,49.993,3.77531,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_64SWU9.tflite
25034,1000,25.0345,50.069,3.80037,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_VS1DG4.tflite
563,1061,0.5978735,1.195747,0.0598687,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_X514WE.tflite
584,1044,0.610218,1.220436,0.0612153,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_M9USMA.tflite
641,1014,0.650481,1.300962,0.064536,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_1CKK4X.tflite
617,1055,0.6514625,1.302925,0.0781252,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_HYPME5.tflite
746,1047,0.7815855,1.563171,0.09169329999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_D9Q5FF.tflite
777,1036,0.80549,1.61098,0.0977467,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_LK2Z9M.tflite
837,1010,0.845875,1.69175,0.09848820000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_1O10MO.tflite
833,1035,0.8626725,1.725345,0.0976364,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_X4IMD7.tflite
883,1003,0.8861505,1.772301,0.104299,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_LMFZ8A.tflite
871,1027,0.8950305,1.790061,0.104601,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_6OUU5L.tflite
879,1055,0.9278725,1.855745,0.111008,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_4PYZ36.tflite
913,1048,0.957348,1.914696,0.11145000000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_07FPDG.tflite
1019,1002,1.021539,2.043078,0.12066500000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_ERPRVS.tflite
1023,1068,1.093098,2.186196,0.121692,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_XIWIEA.tflite
1059,1038,1.099761,2.199522,0.118887,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_2HZBKI.tflite
1083,1044,1.131174,2.262348,0.127172,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_P43EKF.tflite
1129,1005,1.1351475,2.270295,0.13632,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_RJD27C.tflite
1117,1038,1.159965,2.31993,0.14263900000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_DC2709.tflite
1361,1070,1.456805,2.91361,0.172181,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_TXSI3V.tflite
1472,1031,1.5181475,3.036295,0.18040299999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/fc/fc_prior_EQSW9G.tflite
