HW,CIN,COUT,KERNEL_SIZE,STRIDES,LATENCY,model_path
112,499,499,3,2,1.7808199999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_NSWEM9.tflite
112,38,38,2,2,0.09533240000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_7BEZCB.tflite
28,465,465,3,1,0.27062200000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_1VLDWU.tflite
112,497,497,2,2,1.50802,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_4KBNIS.tflite
28,236,236,3,2,0.0327562,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_MPPY80.tflite
14,71,71,2,1,0.0103815,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_9BIAHB.tflite
112,68,68,3,2,0.211161,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_DLHYEA.tflite
112,498,498,2,1,4.56388,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_1L0D9K.tflite
56,65,65,2,1,0.162297,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_DY33VL.tflite
56,55,55,2,2,0.0371748,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_CZ35XE.tflite
14,490,490,2,1,0.0632429,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_IQQLF3.tflite
112,836,836,3,1,6.71073,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_AJRF7T.tflite
224,26,26,2,2,0.306411,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_JG8HSV.tflite
28,238,238,3,1,0.132237,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_AQ716J.tflite
112,504,504,3,2,1.93035,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_DDDN8A.tflite
28,361,361,2,2,0.0571562,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_NJT0JB.tflite
14,494,494,3,2,0.019154499999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_X7H4T3.tflite
14,98,98,3,2,0.0037760600000000004,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_3LJBZJ.tflite
14,528,528,3,2,0.018747399999999997,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_2LV64J.tflite
14,493,493,3,1,0.068167,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_C5YK4R.tflite
14,244,244,3,2,0.0078439,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_N57W9Y.tflite
112,62,62,3,2,0.184847,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_JUUID3.tflite
28,148,148,3,2,0.0210196,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_DV77DY.tflite
14,489,489,2,2,0.017605799999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/maxpool/maxpool_prior_FCICAX.tflite
