HW,CIN,COUT,KERNEL_SIZE,STRIDES,LATENCY,model_path
28,508,508,3,2,0.0859349,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_8CDK0T.tflite
14,142,142,2,2,0.00582534,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_KMBK3U.tflite
112,497,497,3,2,2.05917,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_C6PCBJ.tflite
56,101,101,3,2,0.0745728,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_53WB0W.tflite
14,511,511,3,2,0.0209889,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_QBJQCJ.tflite
224,135,135,3,2,1.9875399999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_PH64SW.tflite
14,64,64,2,2,0.00297456,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_U91VS1.tflite
56,180,180,2,2,0.11961799999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_DG4X51.tflite
28,56,56,2,2,0.009762169999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_4WEKM9.tflite
112,504,504,2,2,1.77605,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_USMA1C.tflite
56,63,63,2,2,0.0403584,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_KK4XZH.tflite
112,151,151,3,2,0.49047,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_YPME5D.tflite
28,832,832,2,2,0.12290300000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_9Q5FFP.tflite
14,1038,1038,2,2,0.0388463,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_LK2Z9M.tflite
56,202,202,2,2,0.14377600000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_1O10MO.tflite
224,505,505,2,1,19.865099999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_X4IMD7.tflite
112,74,74,3,2,0.286626,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_LMFZ8A.tflite
14,253,253,3,1,0.0401533,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_6OUU5L.tflite
14,513,513,3,1,0.0816056,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_4PYZ36.tflite
28,242,242,3,2,0.0422333,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_G07FPD.tflite
224,252,252,2,2,2.98644,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_GERPRV.tflite
112,50,50,2,2,0.132895,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_S8XIWI.tflite
14,144,144,2,2,0.00536823,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_EA2HZB.tflite
14,54,54,3,1,0.008976739999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_KI0P43.tflite
224,129,129,3,2,2.0179,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_EKFVRJ.tflite
112,136,136,2,2,0.37343200000000004,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_D27CDC.tflite
112,499,499,2,2,1.74423,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_27098T.tflite
224,50,50,3,2,0.620297,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_XSI3VW.tflite
56,192,192,2,2,0.12415699999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_EQSW9G.tflite
224,132,132,3,2,1.95471,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_QYU31Z.tflite
14,467,467,2,2,0.018073699999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_KRHJ9K.tflite
14,141,141,2,2,0.00592916,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_A2X1RK.tflite
28,50,50,2,2,0.008967290000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_UMIDDK.tflite
112,511,511,2,2,1.74677,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_89JDSW.tflite
28,498,498,3,2,0.0845052,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_3XTQEM.tflite
56,511,511,2,2,0.33213600000000004,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_WEEP28.tflite
14,188,188,3,2,0.00718646,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_PR9SD6.tflite
56,255,255,2,2,0.173485,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_1V3DXV.tflite
28,239,239,3,2,0.041289299999999994,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_45S85A.tflite
112,253,253,3,2,0.863347,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_XQ4LOY.tflite
224,77,77,2,2,0.948546,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_1URGVH.tflite
28,128,128,2,2,0.0221739,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_FGQ1PL.tflite
28,41,41,2,2,0.00785481,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_8LA69S.tflite
112,129,129,3,2,0.474632,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_KVMHKU.tflite
14,73,73,3,2,0.00357493,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_AV4M2D.tflite
28,246,246,2,1,0.145958,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_4IB9S6.tflite
14,248,248,2,2,0.00970001,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_L7GJ5T.tflite
14,232,232,2,2,0.00894974,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_TDYKJY.tflite
112,98,98,2,1,0.943723,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_A410BB.tflite
28,52,52,3,2,0.00855469,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_KRZM64.tflite
56,848,848,2,2,0.549374,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_YPV8OX.tflite
112,139,139,3,2,0.458796,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_CAJAIN.tflite
112,235,235,2,1,2.3565500000000004,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_RPE50D.tflite
56,847,847,3,2,0.781014,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_2XANLN.tflite
56,196,196,2,2,0.133825,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_WBSJ75.tflite
14,133,133,3,2,0.005652999999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_YFI4ET.tflite
28,240,240,3,1,0.136436,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_L54SD4.tflite
112,250,250,2,2,0.7267469999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_SCXEFW.tflite
14,508,508,2,2,0.0180453,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_71CH9K.tflite
112,53,53,2,2,0.154076,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_ICO0DE.tflite
56,230,230,3,2,0.183749,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_TC0XV6.tflite
112,500,500,3,2,1.95367,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_SYQYA9.tflite
14,493,493,3,2,0.0210686,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_8A3O9E.tflite
14,251,251,3,2,0.0100984,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_Y8WR8C.tflite
56,49,49,2,2,0.0336579,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_DU3TUK.tflite
56,142,142,3,2,0.096072,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_KW5GXO.tflite
112,247,247,2,2,0.8044589999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_UDTA6S.tflite
14,128,128,3,2,0.0057468599999999995,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_HXDIBR.tflite
112,238,238,3,2,0.892408,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_OW8BT8.tflite
112,489,489,2,2,1.62585,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_Y8Z2UA.tflite
14,63,63,3,1,0.0104508,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_ISMWW6.tflite
224,51,51,3,2,0.650098,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_S0G2JO.tflite
224,138,138,2,2,1.69472,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_Y8VTP1.tflite
56,58,58,3,2,0.0430143,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_BEOYNK.tflite
14,66,66,2,2,0.0030235699999999997,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_DFXXGL.tflite
28,511,511,2,2,0.0821235,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_DEB0PE.tflite
14,146,146,3,2,0.00600882,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_915QHB.tflite
112,70,70,3,2,0.234542,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_8GMEYQ.tflite
14,497,497,2,1,0.0701247,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_EUHTOP.tflite
14,57,57,3,2,0.0027184400000000004,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_2I4USM.tflite
112,496,496,3,2,1.75332,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_1D1I1Q.tflite
14,231,231,2,2,0.008881259999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_JXJS69.tflite
14,253,253,2,1,0.0351851,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_ZN5ZGQ.tflite
56,62,62,3,1,0.157317,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_DKZ8GJ.tflite
224,66,66,3,2,0.917176,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_7OROHD.tflite
14,473,473,3,2,0.019692599999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_D0Z6CG.tflite
28,51,51,2,2,0.008663309999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_I1TDO1.tflite
56,74,74,2,1,0.182321,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_US281B.tflite
14,244,244,2,2,0.00873528,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_NKNECJ.tflite
28,71,71,3,2,0.013112,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_RUQ7WD.tflite
112,150,150,3,2,0.441021,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_8INZQ5.tflite
56,534,534,3,1,1.39129,LitePred/outputs/pixel9_tflite_cpu_20260608_230438/kernels/avgpool/avgpool_prior_1Z2W0U.tflite
