HW,CIN,COUT,KERNEL_SIZE,STRIDES,FLOPS,PARAMS,LATENCY,model_path
1,32,26,1,1,0.000858,0.000858,0.00022012599999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_GVHFGQ.tflite
7,58,10,1,1,0.02891,0.00059,0.00270968,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_PL8LA6.tflite
1,18,65,5,1,0.029315,0.029315,0.0033466200000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_SKVMHK.tflite
1,262,6,5,1,0.039306,0.039306,0.00528472,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_AV4M2D.tflite
1,204,217,1,1,0.044485,0.044485,0.00459227,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_4IB9S6.tflite
8,171,6,1,1,0.066048,0.001032,0.00469127,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_7GJ5TT.tflite
3,124,68,1,1,0.0765,0.0085,0.00546315,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_YKJYA4.tflite
13,10,79,1,1,0.146861,0.000869,0.009324579999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_0BBKRZ.tflite
13,12,76,1,1,0.166972,0.000988,0.010551999999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_64YPV8.tflite
3,219,497,1,2,0.246015,0.10934,0.0328764,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_XCAJAI.tflite
1,265,87,7,2,0.2824455,1.129782,0.12768300000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_RPE50D.tflite
14,244,6,1,1,0.28812,0.00147,0.0197739,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_2XANLN.tflite
8,43,107,1,1,0.301312,0.004708,0.0168202,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_WBSJ75.tflite
8,93,52,1,1,0.312832,0.004888,0.0175499,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_FI4ETL.tflite
56,14,7,1,1,0.32928,0.000105,0.023705300000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_4SD4SC.tflite
13,21,49,3,2,0.3933475,0.00931,0.0283821,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_EFW71C.tflite
14,21,93,1,1,0.401016,0.002046,0.0228039,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_9KICO0.tflite
27,236,10,1,2,0.4319325,0.00237,0.0385182,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_DETC0X.tflite
28,38,15,1,1,0.45864,0.000585,0.0262066,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_6SYQYA.tflite
27,18,16,3,2,0.475308,0.002608,0.0256918,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_8A3O9E.tflite
14,49,49,1,1,0.4802,0.00245,0.0285065,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_8WR8CD.tflite
14,130,19,1,1,0.487844,0.002489,0.031052399999999997,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_3TUKKW.tflite
28,88,28,1,2,0.488432,0.002492,0.0292171,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_5GXOUD.tflite
8,1064,29,1,2,0.49416,0.030885,0.0306409,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_TA6SHX.tflite
8,51,159,1,1,0.529152,0.008268,0.0282645,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_IBROW8.tflite
14,27,100,1,1,0.5488,0.0028,0.0307422,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_T8Y8Z2.tflite
27,27,28,1,1,0.571536,0.000784,0.0350405,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_UAISMW.tflite
13,33,120,1,1,0.68952,0.00408,0.0371603,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_6S0G2J.tflite
27,236,4,1,1,0.691092,0.000948,0.06964390000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_Y8VTP1.tflite
28,174,21,1,2,0.7203,0.003675,0.0422585,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_EOYNKD.tflite
7,81,21,3,1,0.75117,0.01533,0.0461989,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_XXGLDE.tflite
14,526,33,1,2,0.852159,0.017391,0.0566217,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_0PE915.tflite
27,198,6,1,1,0.870426,0.001194,0.05982,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_HB8GME.tflite
14,75,60,1,1,0.89376,0.00456,0.0484608,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_YQEUHT.tflite
8,57,250,1,1,0.928,0.0145,0.0496156,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_OP2I4U.tflite
13,159,4,3,1,0.968032,0.005728,0.097484,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_SM1D1I.tflite
13,179,38,1,1,1.15596,0.00684,0.0624757,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_QJXJS6.tflite
28,12,478,1,2,1.217944,0.006214,0.07237,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_ZN5ZGQ.tflite
27,132,13,1,1,1.260441,0.001729,0.0803011,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_KZ8GJ7.tflite
14,138,56,1,1,1.525664,0.007784,0.0768704,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_OROHDD.tflite
8,788,32,1,1,1.615872,0.025248,0.0828285,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_0Z6CGI.tflite
8,71,40,3,1,1.6384,0.0256,0.08229829999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_TDO1US.tflite
8,154,179,1,1,1.77568,0.027745,0.0927167,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_81BNKN.tflite
13,152,69,1,1,1.784133,0.010557,0.0954693,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_CJRUQ7.tflite
14,257,36,1,1,1.820448,0.009288,0.101825,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_WD8INZ.tflite
13,155,71,1,1,1.871844,0.011076,0.0968326,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_51Z2W0.tflite
13,22,508,1,1,1.974596,0.011684,0.11089199999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_9OU8ZC.tflite
28,81,32,1,1,2.057216,0.002624,0.104791,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_53KC2P.tflite
28,531,5,1,1,2.08544,0.00266,0.1705,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_4KEPG8.tflite
8,207,157,1,1,2.089984,0.032656,0.108336,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_K8NXKD.tflite
14,228,48,1,1,2.154432,0.010992,0.10871800000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_3PJ3EP.tflite
27,108,110,1,2,2.1851775,0.01199,0.124156,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/conv-bn-relu/conv-bn-relu_prior_GDLKIP.tflite
