HW,CIN,COUT,KERNEL_SIZE,STRIDES,LATENCY,model_path
112,508,508,2,2,1.74426,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_N8ANJT.tflite
56,142,142,2,2,0.0916602,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_0JBX7H.tflite
112,497,497,3,2,1.9911800000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_4T33LJ.tflite
14,101,101,3,1,0.01414,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_BZJ2LV.tflite
28,511,511,3,2,0.07958459999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_64JC5Y.tflite
112,135,135,2,2,0.39154,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_K4RN57.tflite
14,64,64,3,2,0.0028267500000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_W9YJUU.tflite
28,180,180,2,2,0.0244393,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_ID3DV7.tflite
14,56,56,2,2,0.00229798,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_7DYFCI.tflite
56,504,504,2,1,1.0738800000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_CAX1O4.tflite
112,63,63,3,2,0.17241900000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_FGEX31.tflite
14,151,151,3,2,0.00581818,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_TLIZ88.tflite
112,832,832,3,2,2.78486,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_MPJYN6.tflite
56,1038,1038,3,2,0.868887,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_5YME8J.tflite
56,202,202,2,2,0.138577,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_8IEZ3F.tflite
14,505,505,2,2,0.019506,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_NA3LKX.tflite
28,74,74,2,1,0.043970999999999996,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_YNPVTQ.tflite
28,253,253,2,2,0.0398322,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_JD50WV.tflite
14,513,513,3,2,0.0216888,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_AUS6D0.tflite
14,242,242,3,2,0.00926867,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_S3KH01.tflite
28,252,252,2,2,0.033393099999999995,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_FH3KEY.tflite
112,50,50,2,2,0.121663,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_8FA79Q.tflite
56,144,144,2,2,0.0773556,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_4F0H04.tflite
28,54,54,2,2,0.008323359999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_OZB235.tflite
14,129,129,2,2,0.00575045,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_0T9J2K.tflite
112,136,136,3,2,0.414244,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_O453ZT.tflite
56,499,499,3,2,0.388164,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_92B68X.tflite
112,50,50,3,2,0.144897,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_3TLPOX.tflite
112,192,192,3,2,0.6019500000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_K7B8CD.tflite
56,132,132,3,2,0.08402240000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_K0TKMB.tflite
112,467,467,3,2,1.8940899999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_K3UC6P.tflite
56,141,141,2,1,0.34910399999999997,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_CBJ53W.tflite
14,50,50,2,2,0.00231888,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_B0WQBJ.tflite
112,511,511,3,2,2.09098,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_QCJPH6.tflite
14,498,498,3,1,0.07316500000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_4SWU91.tflite
28,511,511,2,2,0.07941150000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_VS1DG4.tflite
56,188,188,3,2,0.120268,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_X514WE.tflite
56,255,255,2,2,0.17439500000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_KM9USM.tflite
112,239,239,3,2,0.8594310000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_A1CKK4.tflite
14,253,253,2,2,0.0098668,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_XZHYPM.tflite
14,77,77,3,2,0.00347681,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/maxpool/maxpool_prior_E5D9Q5.tflite
