HW,CIN,COUT,KERNEL_SIZE,STRIDES,LATENCY,model_path
56,499,499,3,1,1.2523900000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/avgpool/avgpool_prior_29NRXH.tflite
112,38,38,2,1,0.405449,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/avgpool/avgpool_prior_AN10YM.tflite
14,465,465,2,2,0.017803899999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/avgpool/avgpool_prior_E1FDWQ.tflite
28,497,497,2,2,0.0782244,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/avgpool/avgpool_prior_X31MS3.tflite
112,236,236,2,2,0.6727960000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/avgpool/avgpool_prior_S656QZ.tflite
112,71,71,2,2,0.226897,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/avgpool/avgpool_prior_2VWR42.tflite
56,68,68,3,2,0.0527085,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/avgpool/avgpool_prior_44F8XZ.tflite
14,498,498,3,2,0.021028099999999997,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/avgpool/avgpool_prior_K0ETBU.tflite
28,65,65,3,2,0.0129231,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/avgpool/avgpool_prior_UEZXSL.tflite
56,55,55,2,2,0.0400861,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/avgpool/avgpool_prior_PKTG9D.tflite
28,490,490,2,2,0.0801283,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/avgpool/avgpool_prior_OE0M2B.tflite
56,836,836,3,1,2.0979099999999997,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/avgpool/avgpool_prior_ZMVM7U.tflite
112,26,26,2,2,0.0829546,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/avgpool/avgpool_prior_DDCXZU.tflite
14,238,238,2,2,0.0096021,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/avgpool/avgpool_prior_KKHWKB.tflite
