CIN,COUT,FLOPS,PARAMS,LATENCY,model_path
525,1000,0.5255,1.051,0.0519622,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_C14AN3.tflite
583,1000,0.5835,1.167,0.057965,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_5RKC75.tflite
599,1000,0.5995,1.199,0.0598839,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_EPXC0I.tflite
647,1000,0.6475,1.295,0.06957970000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_WY0SQ3.tflite
649,1000,0.6495,1.299,0.07103319999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_TXI3P2.tflite
660,1000,0.6605,1.321,0.0698858,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_YCAPIM.tflite
673,1000,0.6735,1.347,0.0710688,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_T8XPU9.tflite
733,1000,0.7335,1.467,0.07935590000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_14EU6K.tflite
785,1000,0.7855,1.571,0.0860158,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_O0PCC5.tflite
815,1000,0.8155,1.631,0.0905065,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_E8FJYX.tflite
823,1000,0.8235,1.647,0.08855400000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_JHG2KM.tflite
833,1000,0.8335,1.667,0.0900874,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_102PRJ.tflite
904,1000,0.9045,1.809,0.102282,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_7LHR3T.tflite
1001,1000,1.0015,2.003,0.108711,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_LL4WU1.tflite
1032,1000,1.0325,2.065,0.115528,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_A8CVUP.tflite
1079,1000,1.0795,2.159,0.122894,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_Q2ZKY5.tflite
1093,1000,1.0935,2.187,0.115275,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_P7R745.tflite
1294,1000,1.2945,2.589,0.141201,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_K53ZI0.tflite
1301,1000,1.3015,2.603,0.143249,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_W8Y5K9.tflite
1524,1000,1.5245,3.049,0.17153800000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_G0CA28.tflite
1672,1000,1.6725,3.345,0.191222,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_DWFJG3.tflite
1744,1000,1.7445,3.489,0.19797499999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_5I3162.tflite
1775,1000,1.7755,3.551,0.196039,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_Q31V77.tflite
1860,1000,1.8605,3.721,0.213106,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_PUCM4B.tflite
1863,1000,1.8635,3.727,0.217495,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_HS1PSF.tflite
1872,1000,1.8725,3.745,0.215155,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_9GSK4J.tflite
1886,1000,1.8865,3.773,0.221388,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_ZMWLFM.tflite
1886,1000,1.8865,3.773,0.217484,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_NGT371.tflite
1892,1000,1.8925,3.785,0.213862,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_9NRXHA.tflite
1899,1000,1.8995,3.799,0.212615,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_10YME1.tflite
1926,1000,1.9265,3.853,0.219809,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_FDWQX3.tflite
1936,1000,1.9365,3.873,0.227191,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_MS3S65.tflite
1939,1000,1.9395,3.879,0.230815,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_QZ2VWR.tflite
1957,1000,1.9575,3.915,0.234631,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_244F8X.tflite
1972,1000,1.9725,3.945,0.23508199999999999,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_ZK0ETB.tflite
1998,1000,1.9985,3.997,0.23743799999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_UUEZXS.tflite
2017,1000,2.0175,4.035,0.24119300000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_LPKTG9.tflite
2032,1000,2.0325,4.065,0.24265799999999998,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_DOE0M2.tflite
2048,1000,2.0485,4.097,0.24216100000000002,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_BZMVM7.tflite
2094,1000,2.0945,4.189,0.246606,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_UDDCXZ.tflite
2125,1000,2.1255,4.251,0.252988,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_KKHWKB.tflite
2149,1000,2.1495,4.299,0.254956,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_86WFZ2.tflite
2221,1000,2.2215,4.443,0.267835,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_WDJ242.tflite
2255,1000,2.2555,4.511,0.269541,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_2LW1V9.tflite
2268,1000,2.2685,4.537,0.264583,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_3YMG1J.tflite
2287,1000,2.2875,4.575,0.269807,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_LM1X9Y.tflite
2290,1000,2.2905,4.581,0.266954,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_DKTODL.tflite
2332,1000,2.3325,4.665,0.270689,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_XLTCZ1.tflite
3602,1000,3.6025,7.205,0.432116,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_WM5KKZ.tflite
3636,1000,3.6365,7.273,0.43393,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_3VCLL0.tflite
3642,1000,3.6425,7.285,0.431183,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_6ZGZHP.tflite
3666,1000,3.6665,7.333,0.43287200000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_1TS8GW.tflite
3668,1000,3.6685,7.337,0.433479,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_74P8SA.tflite
3668,1000,3.6685,7.337,0.431588,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_KYOG64.tflite
3679,1000,3.6795,7.359,0.438623,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_ZNSWEM.tflite
3682,1000,3.6825,7.365,0.439238,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_97BEZC.tflite
3704,1000,3.7045,7.409,0.442478,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_1VLDWU.tflite
3718,1000,3.7185,7.437,0.444741,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_4KBNIS.tflite
3727,1000,3.7275,7.455,0.440728,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_MPPY80.tflite
3744,1000,3.7445,7.489,0.44578199999999996,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_9BIAHB.tflite
3758,1000,3.7585,7.517,0.456741,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_DLHYEA.tflite
3800,1000,3.8005,7.601,0.453,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_1L0D9K.tflite
3812,1000,3.8125,7.625,0.458066,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_Y33VLC.tflite
3813,1000,3.8135,7.627,0.45616,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_35XEIQ.tflite
3819,1000,3.8195,7.639,0.459275,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_LF3AJR.tflite
3827,1000,3.8275,7.655,0.46082999999999996,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_7TJG8H.tflite
3839,1000,3.8395,7.679,0.452503,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_VAQ716.tflite
3848,1000,3.8485,7.697,0.466297,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_DDDN8A.tflite
3862,1000,3.8625,7.725,0.470918,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_JT0JBX.tflite
3875,1000,3.8755,7.751,0.46725900000000004,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_H4T33L.tflite
3880,1000,3.8805,7.761,0.468277,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_JBZJ2L.tflite
3904,1000,3.9045,7.809,0.471676,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_64JC5Y.tflite
3945,1000,3.9455,7.891,0.484334,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_4RN57W.tflite
3964,1000,3.9645,7.929,0.480798,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_9YJUUI.tflite
4014,1000,4.0145,8.029,0.495139,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_3DV77D.tflite
4026,1000,4.0265,8.053,0.483613,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_FCICAX.tflite
4073,1000,4.0735,8.147,0.508403,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_O4FGEX.tflite
4083,1000,4.0835,8.167,0.499176,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_31TLIZ.tflite
4093,1000,4.0935,8.187,0.511527,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_8MPJYN.tflite
4098,1000,4.0985,8.197,0.513437,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_65YME8.tflite
4112,1000,4.1125,8.225,0.514251,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_J8IEZ3.tflite
4116,1000,4.1165,8.233,0.5125190000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_NA3LKX.tflite
4170,1000,4.1705,8.341,0.48918599999999995,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_NPVTQJ.tflite
4183,1000,4.1835,8.367,0.507731,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_50WVAU.tflite
4194,1000,4.1945,8.389,0.513909,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_S6D0S3.tflite
4197,1000,4.1975,8.395,0.5342380000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_H01FH3.tflite
9194,1000,9.1945,18.389,1.54129,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_EY8FA7.tflite
9238,1000,9.2385,18.477,1.29871,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_9Q4F0H.tflite
9722,1000,9.7225,19.445,1.4109800000000001,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_04OZB2.tflite
24563,1000,24.5635,49.127,3.68354,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_50T9J2.tflite
24571,1000,24.5715,49.143,3.6742199999999996,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_O453ZT.tflite
24588,1000,24.5885,49.177,3.71801,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_92B68X.tflite
24670,1000,24.6705,49.341,3.73876,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_3TLPOX.tflite
24695,1000,24.6955,49.391,3.72358,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_K7B8CD.tflite
24734,1000,24.7345,49.469,3.79381,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_0TKMBK.tflite
24848,1000,24.8485,49.697,3.7355500000000004,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_UC6PCB.tflite
24887,1000,24.8875,49.775,3.8082800000000003,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_53WB0W.tflite
24989,1000,24.9895,49.979,3.7596999999999996,LitePred/outputs/pixel9_tflite_cpu_20260608_194312/kernels/fc/fc_prior_BJQCJP.tflite
